question_id,role_tag,difficulty_level,subtopic,question_text,ideal_answer,source_ref
CL_0008,Cloud Engineer,Medium,Application Deployment & DevOps,What is Containerization?,"Containerization packages an application and its dependencies into a lightweight, portable unit.
Tools like Docker allow consistent deployment across environments.",
CL_0009,Cloud Engineer,Medium,Automation & DevOps Practices,What is Infrastructure as Code (IaC)?,"Infrastructure as Code allows infrastructure provisioning through configuration files instead of manual setup.
Tools like Terraform enable automated, version-controlled deployments.",
CL_0010,Cloud Engineer,Medium,System Scalability,What is the difference between Vertical and Horizontal Scaling?,"Vertical Scaling: Increase resources of an existing server.
Horizontal Scaling: Add more servers.
Cloud-native systems prefer horizontal scaling due to better resilience and flexibility.",
CL_0011,Cloud Engineer,Hard,Cloud Security Architecture,Explain the Shared Responsibility Model.,"In cloud computing, the provider secures the infrastructure (hardware, networking, hypervisor).
The customer is responsible for securing data, applications, access control, and configurations.
Understanding this prevents security gaps.",
CL_0012,Cloud Engineer,Hard,Cloud Architecture Design,How would you design a highly available cloud system?,"To design high availability:
Deploy across multiple Availability Zones
Use Load Balancer
Enable Auto Scaling
Use managed databases with Multi-AZ
Implement monitoring and alerts
This removes single points of failure.
",
CL_0013,Cloud Engineer,Hard,Cloud Security Best Practices,How do you secure cloud infrastructure?,"Apply IAM with least privilege
Enable encryption at rest and in transit
Use network segmentation
Enable monitoring and logging
Use MFA
Security must be layered and proactive.",
CL_0014,Cloud Engineer,Hard,Cloud Migration Strategies,How would you migrate an on-prem application to cloud?,"Infrastructure assessment
Choose migration strategy (Rehost, Replatform, Refactor)
Migrate data
Testing
OptimizationIt ensures performance during peak loads and reduces cost during low usage.",
CL_0015,Cloud Engineer,Hard, Incident Management & Reliability,How do you handle a production outage?,"Identify root cause
Communicate impact
Apply rollback or fix
Monitor recovery
Conduct post-incident analysis
Goal is minimizing downtime and preventing recurrence.",
CL_0016,Cloud Engineer,Behavioural ,Problem Solving,How do you handle pressure or deadlines?,"I handle pressure by prioritizing tasks and breaking them into manageable steps.
I stay calm, focus on solutions, and communicate clearly if help is required.
This helps me maintain productivity even under tight deadlines.",
CL_0017,Cloud Engineer,Behavioural ,Career Motivation,Why did you choose Cloud Engineering?,"I chose cloud engineering because it focuses on scalability, automation, and system reliability.
I like how cloud combines infrastructure and software to build efficient systems.",
CL_0018,Cloud Engineer,Behavioural ,Teamwork & Collaboration,Tell me about a time you worked in a team.,"In one of my team projects, we divided responsibilities based on individual strengths.
I made sure to communicate clearly, share progress regularly, and help teammates when they were stuck.
This collaborative approach helped us avoid delays and complete the project successfully.
It taught me the importance of teamwork and clear communication",
CL_0019,Cloud Engineer,Behavioural ,Feedback & Improvement,How do you handle feedback?,"I see feedback as an opportunity to improve.
I listen carefully, understand the points shared, and work on applying them.
Constructive feedback has helped me improve both technically and professionally",
CL_0020,Cloud Engineer,Behavioural ,Career Goals, Where do you see yourself in 2–3 years?,"In the next 2–3 years, I see myself as a confident cloud engineer working on real-world systems.
I want to gain hands-on experience, improve my technical depth, and take on more responsibility.
I also aim to continuously upgrade my skills and grow along with the organization",
